Epoch,Training Loss,Validation MRR,Learning Rate
1,44333.49137942714,0,0.001
2,28103.226506665113,0,0.001
3,19125.149308262447,0,0.001
4,15938.42629757756,0,0.001
5,13827.937275626457,0,0.001
6,12027.79321298841,0,0.001
7,10309.053196495155,0,0.001
8,8745.79290676069,0,0.001
9,7372.066382014675,0,0.001
10,6263.837451067442,0,0.001
11,5412.597943682321,0,0.001
12,4713.176746630948,0,0.001
13,4288.782204516782,0,0.001
14,3846.3548111541922,0,0.001
15,3540.394864604328,0,0.001
16,3284.305364942552,0,0.001
17,3052.8534195563207,0,0.001
18,2941.9118822134114,0,0.001
19,2850.3640831813786,0,0.001
20,2785.7750757754497,0,0.001
21,2745.566030480096,0.2912560999393463,0.001
22,2652.773426603787,0.2912560999393463,0.001
23,2570.6881218388335,0.2912560999393463,0.001
24,2516.582482135242,0.2912560999393463,0.001
25,2502.7504214303362,0.2912560999393463,0.001
26,2514.1444597834047,0.2912560999393463,0.001
27,2480.9828522049847,0.2912560999393463,0.001
28,2423.238458585097,0.2912560999393463,0.001
29,2443.262208422036,0.2912560999393463,0.001
30,2388.406735316933,0.2912560999393463,0.001
31,2401.258838644099,0.2912560999393463,0.001
32,2344.8844706348186,0.2912560999393463,0.001
33,2350.133411916091,0.2912560999393463,0.001
34,2353.887498160897,0.2912560999393463,0.001
35,2383.5690084622197,0.2912560999393463,0.001
36,2346.3132179070362,0.2912560999393463,0.001
37,2305.3399128107253,0.2912560999393463,0.001
38,2277.1974279527303,0.2912560999393463,0.001
39,2261.5100589242666,0.2912560999393463,0.001
40,2279.2247543996036,0.2912560999393463,0.001
41,2321.5955569699263,0.25622987747192383,0.001
42,2300.6808631075555,0.25622987747192383,0.001
43,2310.888380493179,0.25622987747192383,0.001
44,2222.55845869232,0.25622987747192383,0.001
45,2254.03056763764,0.25622987747192383,0.001
46,2228.4467138506866,0.25622987747192383,0.001
47,2276.78573331234,0.25622987747192383,0.001
48,2273.1039784174104,0.25622987747192383,0.001
49,2292.503139628689,0.25622987747192383,0.001
50,2202.56639442797,0.25622987747192383,0.001
51,2232.9566145779377,0.25622987747192383,0.001
52,2193.172761115646,0.25622987747192383,0.001
53,2218.2638129872685,0.25622987747192383,0.001
54,2220.694827038092,0.25622987747192383,0.001
55,2277.595460476579,0.25622987747192383,0.001
56,2216.6733660955406,0.25622987747192383,0.001
57,2220.7384266023014,0.25622987747192383,0.001
58,2130.5414039702214,0.25622987747192383,0.001
59,2186.409696286699,0.25622987747192383,0.001
60,2184.6136461180254,0.25622987747192383,0.001
61,2251.3692582190233,0.21086373925209045,0.001
62,2147.242969345175,0.21086373925209045,0.001
63,2179.5292315004112,0.21086373925209045,0.001
64,2105.3858879073337,0.21086373925209045,0.001
65,2201.779984620733,0.21086373925209045,0.001
66,2151.658446678336,0.21086373925209045,0.001
67,2208.1986478027297,0.21086373925209045,0.001
68,2094.380743373527,0.21086373925209045,0.001
69,2163.677987087434,0.21086373925209045,0.001
70,2092.4008815699926,0.21086373925209045,0.001
71,2182.1559340860285,0.21086373925209045,0.001
72,2098.5589925478534,0.21086373925209045,0.001
73,2173.8964668473523,0.21086373925209045,0.001
74,2092.3741124298867,0.21086373925209045,0.001
75,2149.983256551937,0.21086373925209045,0.001
76,2094.374257269205,0.21086373925209045,0.001
77,2140.369912717947,0.21086373925209045,0.001
78,2087.619905714075,0.21086373925209045,0.001
79,2130.664872899525,0.21086373925209045,0.001
80,2074.9901776977476,0.21086373925209045,0.001
81,2107.3890590247215,0.1859789490699768,0.001
82,2094.225665362953,0.1859789490699768,0.001
83,2104.66248395669,0.1859789490699768,0.001
84,2080.5020793243552,0.1859789490699768,0.001
85,2092.4088455547308,0.1859789490699768,0.001
86,2093.5348208840624,0.1859789490699768,0.001
87,2106.5241265908076,0.1859789490699768,0.001
88,2077.7260087518816,0.1859789490699768,0.001
89,2086.224747131112,0.1859789490699768,0.001
90,2073.5997123573447,0.1859789490699768,0.001
91,2093.5428936835906,0.1859789490699768,0.001
92,2049.41479003826,0.1859789490699768,0.001
93,2059.5243648828637,0.1859789490699768,0.001
94,2053.0906340087176,0.1859789490699768,0.001
95,2072.692070020273,0.1859789490699768,0.001
96,2036.880376207256,0.1859789490699768,0.001
97,2072.518258639068,0.1859789490699768,0.001
98,2063.9476125434016,0.1859789490699768,0.001
99,2058.7227204723094,0.1859789490699768,0.001
100,2017.4811815847506,0.1859789490699768,0.001
101,2077.9556294827207,0.15408886969089508,0.001
102,2024.7106656403669,0.15408886969089508,0.001
103,2080.3806911302318,0.15408886969089508,0.001
104,2006.8272346003355,0.15408886969089508,0.001
105,2082.0130913295466,0.15408886969089508,0.001
106,1982.305801137799,0.15408886969089508,0.001
107,2046.034925107847,0.15408886969089508,0.001
108,1989.3221466748994,0.15408886969089508,0.001
109,2052.1142637973526,0.15408886969089508,0.001
110,1993.603029734926,0.15408886969089508,0.001
111,2054.4969554979293,0.15408886969089508,0.001
112,2009.655385376457,0.15408886969089508,0.001
113,2037.651857433349,0.15408886969089508,0.001
114,2002.6763451213417,0.15408886969089508,0.001
115,2048.2490391777774,0.15408886969089508,0.001
116,2016.671170026458,0.15408886969089508,0.001
117,2059.116689509044,0.15408886969089508,0.001
118,1983.5657327641457,0.15408886969089508,0.001
119,2027.6483636085843,0.15408886969089508,0.001
120,1999.863108809424,0.15408886969089508,0.001
121,2032.2307494564764,0.16392070055007935,0.001
122,2012.195757944974,0.16392070055007935,0.001
123,2045.1976484532809,0.16392070055007935,0.001
124,1985.0261450031014,0.16392070055007935,0.001
125,2009.3520867010927,0.16392070055007935,0.001
126,2028.887748940054,0.16392070055007935,0.001
127,1999.2923946812057,0.16392070055007935,0.001
128,2018.8048128816665,0.16392070055007935,0.001
129,2024.818212539032,0.16392070055007935,0.001
130,2014.5907118804705,0.16392070055007935,0.001
131,1990.3125501123327,0.16392070055007935,0.001
132,2032.4995948403532,0.16392070055007935,0.001
133,1988.9943409621096,0.16392070055007935,0.001
134,2042.7918549266271,0.16392070055007935,0.001
135,1955.3300559085633,0.16392070055007935,0.001
136,2026.2958429041546,0.16392070055007935,0.001
137,1959.975430525187,0.16392070055007935,0.001
138,2029.965169989935,0.16392070055007935,0.001
139,1992.2129105016948,0.16392070055007935,0.001
140,2052.022634722216,0.16392070055007935,0.001
141,1979.815082504442,0.16970878839492798,0.001
142,2006.5869762852124,0.16970878839492798,0.001
143,1980.5783459580955,0.16970878839492798,0.001
