Epoch,Training Loss,Validation MRR,Learning Rate
1,44929.098450558085,0,0.001
2,30922.263460387436,0,0.001
3,20477.37056101803,0,0.001
4,16919.790136452586,0,0.001
5,14691.72427805169,0,0.001
6,12908.73843952243,0,0.001
7,11318.593033899611,0,0.001
8,9901.55377535645,0,0.001
9,8573.981852964502,0,0.001
10,7458.134911982067,0,0.001
11,6559.534713414229,0,0.001
12,5750.165692671637,0,0.001
13,5125.010294994932,0,0.001
14,4588.304623032289,0,0.001
15,4185.089760286285,0,0.001
16,3918.236979375576,0,0.001
17,3661.5091605095477,0,0.001
18,3456.482698565316,0,0.001
19,3264.836112593332,0,0.001
20,3170.7829882028554,0,0.001
21,3012.141417453104,0.3090527057647705,0.001
22,3003.5142644225784,0.3090527057647705,0.001
23,2893.9041250446026,0.3090527057647705,0.001
24,2810.717113212046,0.3090527057647705,0.001
25,2763.858020882518,0.3090527057647705,0.001
26,2775.42770797365,0.3090527057647705,0.001
27,2668.9722043260304,0.3090527057647705,0.001
28,2606.5792772532795,0.3090527057647705,0.001
29,2592.7904634456104,0.3090527057647705,0.001
30,2523.8946610299677,0.3090527057647705,0.001
31,2574.549881168265,0.3090527057647705,0.001
32,2583.759045443358,0.3090527057647705,0.001
33,2517.171192998625,0.3090527057647705,0.001
34,2458.5233949356057,0.3090527057647705,0.001
35,2458.657615462726,0.3090527057647705,0.001
36,2397.187793866516,0.3090527057647705,0.001
37,2447.4219111864227,0.3090527057647705,0.001
38,2488.4380196551997,0.3090527057647705,0.001
39,2531.825714068953,0.3090527057647705,0.001
40,2393.075191253772,0.3090527057647705,0.001
41,2404.115633848687,0.2662704885005951,0.001
42,2337.0209962748063,0.2662704885005951,0.001
43,2407.971524388708,0.2662704885005951,0.001
44,2382.0557880035494,0.2662704885005951,0.001
45,2430.5331654917,0.2662704885005951,0.001
46,2387.799431303905,0.2662704885005951,0.001
47,2386.3034928775032,0.2662704885005951,0.001
48,2328.9853710705106,0.2662704885005951,0.001
49,2363.094314558641,0.2662704885005951,0.001
50,2344.9656827465774,0.2662704885005951,0.001
51,2317.1211423823156,0.2662704885005951,0.001
52,2361.6191561803257,0.2662704885005951,0.001
53,2381.148171301169,0.2662704885005951,0.001
54,2392.4659297564917,0.2662704885005951,0.001
55,2309.9367868805275,0.2662704885005951,0.001
56,2359.702750790472,0.2662704885005951,0.001
57,2281.879352430198,0.2662704885005951,0.001
58,2302.3735507866536,0.2662704885005951,0.001
59,2313.198531453552,0.2662704885005951,0.001
60,2303.6045929318507,0.2662704885005951,0.001
61,2340.216127369544,0.23328036069869995,0.001
62,2300.3109397411504,0.23328036069869995,0.001
63,2337.1164799319895,0.23328036069869995,0.001
64,2296.8072039384274,0.23328036069869995,0.001
65,2348.79852696741,0.23328036069869995,0.001
66,2288.9440543113565,0.23328036069869995,0.001
67,2325.577928227582,0.23328036069869995,0.001
68,2304.3084600714687,0.23328036069869995,0.001
69,2309.8012876368657,0.23328036069869995,0.001
70,2295.037639426182,0.23328036069869995,0.001
